pid,sem,month_year,gpa,result,ECategory,Hobby,Hobby_level,Name,acadyear,stat,ssc,hsc,cet,diploma
197882,1.0,01-12-2018,0,0,sports,karate ,national,Stephen Sequeira,2011-2012,regular,73.0,59.0,51.0,73.0
197883,1.0,01-12-2018,0,0,sports,football,school,Anjali Nair,2011-2012,regular,73.0,59.0,51.0,73.0
197884,1.0,01-05-2019,0,0,hobbies,reading books,school,Teresa Pereira,2012-2013,regular,73.0,59.0,51.0,73.0
197885,1.0,01-12-2019,0,0,cultural,mono-act play,school,Khalid Mirza,2012-2013,regular,73.0,59.0,51.0,73.0
197886,1.0,01-12-2012,0,0,hobbies,"reading, singing",school,Rahul Saxena,2012-2013,regular,73.0,59.0,51.0,73.0
197887,2.0,01-05-2013,0,0,sports,"reading, singing",national,John Coelho,2013-2014,regular,73.0,59.0,51.0,73.0
197888,1.0,01-05-2013,0,1,games,"reading, singing",national,Catherine Pereira,2013-2014,regular,73.0,59.0,51.0,73.0
197889,3.0,01-12-2013,0,0,cultural,"reading, singing",national,Rahul Mehta,2014-2015,regular,73.0,59.0,51.0,73.0
197890,2.0,01-12-2013,0,0,hobbies,"reading, singing",national,Elizabeth Gomes,2015-2016,regular,73.0,59.0,51.0,73.0
197891,2.0,01-05-2014,0,0,others,s,national,Nikita Desai,2015-2016,regular,71.0,0.0,51.0,73.0
197892,3.0,01-05-2014,0,0,games,"table tennis,p.s",school,Margaret Dias,2017-2018,regular,95.0,67.0,51.0,73.0
197893,4.0,01-05-2014,0,0,sports,"shot-put,discuss-throw and javelin throw",state,Aarav Trivedi,2017-2018,regular,63.4,59.38,67.0,73.0
197894,3.0,01-12-2014,0,0,games,"volleyball,throw-ball",district,Sanjay Kulkarni,2017-2018,regular,81.6,85.6,0.0,73.0
197895,2.0,01-12-2014,0,0,sports,cricket,district,Simon Fernandes,2019-2020,regular,85.2,74.2,0.0,73.0
197896,3.0,01-05-2015,0,0,games,kho  kho,school,Sanjay Sharma,2014-2015,regular,85.2,74.2,0.0,73.0
197897,2.0,01-05-2015,0,0,sports,marathon,national,Imran Tariq,2014-2015,regular,85.2,74.2,0.0,73.0
197898,2.0,01-12-2015,0,0,games,cricket,district,Meera Malhotra,2014-2015,regular,85.2,74.2,0.0,73.0
197899,1.0,01-12-2012,0,0,hobbies,"swimming, cycling, running, fishing,etc.",state,Neha Reddy,2014-2015,regular,85.2,74.2,0.0,73.0
197900,2.0,01-05-2013,0,0,sports,tennis,state,Ayesha Malik,2014-2015,regular,85.2,74.2,0.0,73.0
197901,1.0,01-05-2013,0,0,games,football,school,Simon Noronha,2014-2015,regular,85.2,74.2,0.0,73.0
197902,1.0,01-12-2013,0,0,cultural,drama,school,Daniel Gomes,2014-2015,regular,85.2,74.2,0.0,73.0
197903,3.0,01-12-2013,0,0,hobbies,piano (grade 8),national,Joseph Dias,2014-2015,regular,85.2,74.2,0.0,73.0
197904,2.0,01-12-2013,0,0,cultural,"drama,speech",district,Margaret Almeida,2015-2016,regular,85.2,74.2,0.0,73.0
197905,2.0,01-05-2014,0,0,hobbies,drawing,school,Daniel Fernandes,2015-2016,regular,85.2,74.2,0.0,73.0
197906,3.0,01-05-2014,0,0,sports,"cricket,volleyball,football",school,Varun Saxena,2015-2016,regular,85.2,74.2,0.0,73.0
197907,4.0,01-05-2014,0,0,hobbies,"cricket,swimming",school,Deepak Joshi,2015-2016,regular,85.2,74.2,0.0,73.0
197908,1.0,01-05-2014,0,0,sports,kho-kho,state,Shabana Rehman,2015-2016,regular,85.2,74.2,0.0,73.0
197909,3.0,01-12-2014,0,0,games,chess,school,Teresa Fernandes,2015-2016,regular,85.2,74.2,0.0,73.0
197910,2.0,01-12-2014,0,0,hobbies,singing,state,Sneha Pandey,2015-2016,regular,85.2,74.2,0.0,73.0
197911,1.0,01-12-2013,0,0,hobbies,"music,reading books, movies",school,Anne Pinto,2015-2016,regular,85.2,74.2,0.0,73.0
197912,1.0,01-05-2014,0,0,sports,cricket,school,Rajesh Iyer,2015-2016,regular,85.2,74.2,0.0,73.0
197913,1.0,01-12-2013,0,0,hobbies,"music,gaming,reading",school,Catherine Coelho,2015-2016,regular,85.2,74.2,0.0,73.0
197914,2.0,01-05-2014,0,0,sports,running,school,Priya Trivedi,2015-2016,regular,85.2,74.2,0.0,73.0
197915,1.0,01-05-2014,0,0,games,kho kho,school,David Almeida,2015-2016,regular,85.2,74.2,0.0,73.0
197916,2.0,01-12-2014,0,0,cultural,dance,school,Anne Monteiro,2015-2016,regular,85.2,74.2,0.0,73.0
197917,1.0,01-12-2014,0,0,hobbies,"reading , listening romantic songs",school,Lucas Rodrigues,2017-2018,regular,85.2,74.2,0.0,73.0
197918,1.0,01-05-2015,0,0,others,painting craft works,school,Nikita Bansal,2017-2018,regular,85.2,74.2,0.0,73.0
197919,2.0,01-05-2015,0,0,sports,throw ball championship,school,Elizabeth Gomes,2017-2018,regular,85.2,74.2,0.0,73.0
197920,1.0,01-12-2015,0,0,cultural,writing,school,Deepak Chopra,2017-2018,regular,85.2,74.2,0.0,73.0
197921,2.0,01-12-2015,0,0,hobbies,writing,school,Pooja Iyer,2020-2021,regular,73.8,52.4,26.0,73.0
197922,3.0,01-12-2015,0,0,others,publised my poem in school magazine,school,Priya Desai,2020-2021,regular,88.8,78.6,74.4,73.0
197923,1.0,01-05-2016,5.09,1,cultural,drama ,school,Kavita Iyer,2021-2022,regular,89.4,93.3,88.0,73.0
197924,2.0,01-05-2016,0,0,sports,volleyball and cricket,school,Omar Syed,2021-2022,regular,85.6,93.0,69.7,73.0
197925,3.0,01-05-2016,0,0,hobbies,dancing and singing,school,Varun Malhotra,2021-2022,regular,87.0,95.2,77.6,73.0
197926,4.0,01-05-2016,0,0,others,like to read book and passionatea about computer program and electronic devices,school,Sameer Ahmed,2021-2022,regular,84.2,94.2,97.2,73.0
197927,1.0,01-12-2013,0,\n,sports,no,school,Teresa Fernandes,2021-2022,regular,84.8,92.7,88.5,73.0
197928,2.0,01-05-2014,\n,1,games,badminton,school,Michael D’Mello,2021-2022,regular,74.0,90.7,79.6,73.0
197929,1.0,01-12-2013,0,0,cultural,no,school,Aarav Iyer,2021-2022,regular,92.6,94.3,92.9,73.0
197930,2.0,01-05-2014,0,0,hobbies,card making;drawing,school,Sanjay Patel,2021-2022,regular,91.2,94.2,96.0,73.0
197931,1.0,01-05-2014,0,0,others,no,school,Anjali Bansal,2021-2022,regular,80.8,90.3,83.3,73.0
197932,2.0,01-12-2014,0,0,sports,running race,school,Rajesh Bhatt,2021-2022,regular,73.2,93.6,76.6,73.0
197933,1.0,01-12-2014,0,0,games,quiz,school,Lucas Sequeira,2021-2022,regular,86.4,92.6,35.4,73.0
197934,1.0,01-05-2015,0,0,cultural,dancing,school,Amit Trivedi,2021-2022,regular,76.4,81.1,66.2,73.0
197935,2.0,01-05-2015,0,0,hobbies,"drawing,programming,reading,dancing",school,Anjali Bansal,2021-2022,regular,96.2,89.2,69.3,73.0
197936,1.0,01-12-2015,0,0,sports,cricket,school,Neha Iyer,2021-2022,regular,75.4,88.2,77.2,73.0
197937,2.0,01-12-2015,0,0,games,chess ,school,Simon D’Costa,2021-2022,regular,89.6,95.8,84.4,73.0
197938,3.0,01-12-2015,0,0,cultural,traditional  day,school,Teresa Gomes,2021-2022,regular,69.0,77.8,63.7,73.0
197939,1.0,01-05-2016,0,0,cultural,"dance, singing and drama",school,Lucas Rodrigues,2021-2022,regular,88.2,87.8,79.3,73.0
197940,2.0,01-05-2016,0,0,sports,cricket,school,Sanjay Sharma,2021-2022,regular,78.4,0.0,0.0,73.0
197941,3.0,01-05-2016,0,0,hobbies,maramari,national,Teresa D’Costa,2021-2022,regular,95.4,93.7,93.2,73.0
197942,4.0,01-05-2016,0,0,sports, winner in intra college competition in volley ball,school,Margaret D’Mello,2021-2022,regular,86.0,82.8,95.7,73.0
197943,2.0,01-12-2016,0,0,games, ,school,Daniel Sequeira,2021-2022,regular,90.4,91.1,96.7,73.0
197944,3.0,01-12-2016,0,0,hobbies,"gardening, competitive coding ",school,Anthony Rodrigues,2021-2022,regular,88.0,84.0,83.0,73.0
